PromoterID,PromName,PromType,PromEmail
11059,SHIVALIK PARAM STRUCTURES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,design@shivalikgroup.com
12388,AYB BUILDCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,rera.shilpananta@gmail.com
12159,V SQUARE PROJECTS-JAGATPUR,PARTNERSHIP FIRM,contactmoneyplant2@gmail.com
12984,Shreenath Buildcon,PARTNERSHIP FIRM,bhagwat.elysium@gmail.com
13133,DEEP BUILDERS,PARTNERSHIP FIRM,malav@deepgroup1980.com
17807,RAJHANS NUTRIMENTS PRIVATE LIMITED,COMPANY,rajhans.zoristta@gmail.com
13191,GSG DEVELOPERS,PARTNERSHIP FIRM,olivegreens.rera@gmail.com
13750,DEEP INFRAPROJECTS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,shivanta@deepgroup1980.com
13904,RAJYASH PROCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,rera.rajyashregius@gmail.com
14095,PIV REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,pivrera@gmail.com
14493,KAVISHA ATRIA LLP,LIMITED LIABILITY PARTNERSHIP FIRM,kavishaatria@gmail.com
14636,SAMYAKTVA  DEVELOPERS,PARTNERSHIP FIRM,samyakarise2021@gmail.com
11684,MAHAPRABHU RESIDENCY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,harikeshharmony@gmail.com
14780,ATM ILYF LLP,LIMITED LIABILITY PARTNERSHIP FIRM,atmilyfllp@gmail.com
16724,AVADH INFRABUILD,PARTNERSHIP FIRM,avadhercole@gmail.com
16750,SURVI INFRASPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,anant@survigroup.com
17845,SHILP INFRAPROJECTS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,rera.shilpnorthsky@gmail.com
17845,SHILP INFRAPROJECTS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,rera.shilpnorthsky@gmail.com
17845,SHILP INFRAPROJECTS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,rera.shilpnorthsky@gmail.com
16850,NEMI LANDMARKS PRIVATE LIMITED,COMPANY,galaikebana@galainfra.com
16878,SAVVY ATS REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,rera.marina@savvygroup.in
16989,AARYAN BUILD PROJECTS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,rera.aranyam@gmail.com
17085,SHRI RAM CORPORATION,PARTNERSHIP FIRM,ratnam.parkview@gmail.com
18078,GALAXY REAL ESTATE DEVELOPERS GUJ PRIVATE LIMITED,COMPANY,orchidgold.rera1@gmail.com
17488,SHAKTI ORGANISERS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,westerngroup00000@gmail.com
17865,AMAYA CORPORATION,PARTNERSHIP FIRM,amayacorporation2022@gmail.com
17959,KAVISHA AER LLP,LIMITED LIABILITY PARTNERSHIP FIRM,kavishareraaer@gmail.com
17994,SUPER SHALIGRAM LLP,LIMITED LIABILITY PARTNERSHIP FIRM,rera.supershaligram@gmail.com
17999,AUM SHREYA REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,aumshreyarealty@gmail.com
18045,BAKERI RESIDENCES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,jayesh.pandya@bakeri.com
18071,ANJNEY FINEBUILD,PARTNERSHIP FIRM,accounts2@marutibuildcon.com
18145,AVADH CLASSIMA,PARTNERSHIP FIRM,avadhclassima@gmail.com
18228,AVKAR BUILDTECH LLP,LIMITED LIABILITY PARTNERSHIP FIRM,sorrento.rosette@gmail.com
18257,SKYTOWER ENTERPRISES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,legal@roongtadevelopers.com
18490,SHEETAL HOUSING DEVELOPMENT LLP,LIMITED LIABILITY PARTNERSHIP FIRM,dharohar@sheetalinfra.com
18657,ASHIMA LIMITED,COMPANY,finance.re@ashima.in
18712,SAFAL GOYAL REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,rivierapalacio.rera@gmail.com
